ccn,hospital_name,state,beds,ownership_category,doc_gap_score,gap_tier,census_region,bed_size_tier,shiftable_discharges,estimated_shift_rate,estimated_shifted_cases,estimated_annual_revenue_opportunity
010059,LAWRENCE MEDICAL CENTER,AL,98.0,Government,71.29,High,South,25-99,91.0,0.08437714285714287,8,46332
010061,HIGHLANDS MEDICAL CENTER,AL,170.0,Government,49.09,Low,South,100-199,539.0,0.04005510204081633,22,127412
010062,WIREGRASS MEDICAL CENTER,AL,87.0,Government,63.75,Medium,South,25-99,88.0,0.06946428571428571,6,34749
010065,RUSSELL MEDICAL CENTER,AL,81.0,Nonprofit,34.23,Low,South,25-99,435.0,0.030957142857142857,13,75289
010073,CLAY COUNTY HOSPITAL,AL,53.0,Government,62.7,Medium,South,25-99,199.0,0.06721428571428573,13,75289
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,323.0,Government,62.8,Medium,South,200-399,2668.0,0.06742857142857142,180,1042463
010079,ATHENS LIMESTONE HOSPITAL,AL,71.0,Government,40.39,Low,South,25-99,1050.0,0.03472857142857143,36,208493
010083,BALDWIN HEALTH,AL,112.0,For-Profit,54.85,Medium,South,100-199,1566.0,0.05039285714285714,79,457526
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,457.0,Government,61.19,Medium,South,400-599,2035.0,0.06397857142857143,130,752890
010086,NORTHWEST MEDICAL CENTER,AL,71.0,For-Profit,38.08,Low,South,25-99,348.0,0.03331428571428571,12,69498
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,406.0,Government,49.77,Low,South,400-599,1429.0,0.040471428571428575,58,335905
010089,WALKER BAPTIST MEDICAL CENTER,AL,267.0,For-Profit,47.21,Low,South,200-399,1029.0,0.03890408163265306,40,231659
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,349.0,Nonprofit,46.73,Low,South,200-399,2342.0,0.03861020408163265,90,521232
010091,GROVE HILL MEMORIAL HOSPITAL,AL,50.0,Government,76.38,High,South,25-99,39.0,0.09601142857142857,4,23166
010092,DCH REGIONAL MEDICAL CENTER,AL,787.0,Government,70.62,High,South,600+,4380.0,0.0828457142857143,363,2102301
010095,HALE COUNTY HOSPITAL,AL,39.0,Government,72.78,High,South,25-99,77.0,0.08778285714285715,7,40540
010097,ELMORE COMMUNITY HOSPITAL,AL,38.0,For-Profit,68.72,High,South,25-99,154.0,0.07850285714285715,12,69498
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,65.0,Government,50.44,Medium,South,25-99,267.0,0.04094285714285714,11,63706
010100,THOMAS HOSPITAL,AL,162.0,Nonprofit,51.76,Medium,South,100-199,2751.0,0.043771428571428565,120,694976
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,122.0,Nonprofit,39.53,Low,South,100-199,328.0,0.03420204081632653,11,63706
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,505.0,Nonprofit,42.05,Low,South,400-599,1630.0,0.035744897959183675,58,335905
010104,GRANDVIEW MEDICAL CENTER,AL,422.0,For-Profit,57.51,Medium,South,400-599,5019.0,0.05609285714285714,282,1633193
010108,PRATTVILLE BAPTIST HOSPITAL,AL,85.0,Government,38.61,Low,South,25-99,679.0,0.03363877551020408,23,133204
010110,BULLOCK COUNTY HOSPITAL,AL,48.0,For-Profit,74.03,High,South,25-99,3.0,0.09064000000000001,0,0
010112,WHITFIELD REGIONAL HOSPITAL,AL,99.0,Government,21.58,Low,South,25-99,312.0,0.023212244897959183,7,40540
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,669.0,Nonprofit,66.47,High,South,600+,4083.0,0.07336000000000001,300,1737439
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,310.0,Government,51.06,Medium,South,200-399,975.0,0.04227142857142858,41,237450
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,214.0,For-Profit,52.57,Medium,South,200-399,587.0,0.04550714285714286,27,156370
010120,MONROE COUNTY HOSPITAL,AL,94.0,Government,71.65,High,South,25-99,195.0,0.08520000000000003,17,98455
010125,LAKELAND COMMUNITY HOSPITAL,AL,49.0,For-Profit,40.59,Low,South,25-99,306.0,0.034851020408163264,11,63706
010126,TROY REGIONAL MEDICAL CENTER,AL,97.0,Government,33.82,Low,South,25-99,163.0,0.030706122448979592,5,28957
010128,JACKSON MEDICAL CENTER,AL,35.0,For-Profit,71.07,High,South,25-99,111.0,0.0838742857142857,9,52123
010129,NORTH BALDWIN INFIRMARY,AL,78.0,Nonprofit,36.96,Low,South,25-99,317.0,0.03262857142857143,10,57915
010130,ST VINCENT'S ST CLAIR,AL,40.0,Nonprofit,42.89,Low,South,25-99,475.0,0.03625918367346939,17,98455
010131,CRESTWOOD MEDICAL CENTER,AL,147.0,For-Profit,55.82,Medium,South,100-199,2362.0,0.05247142857142857,124,718141
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,33.0,Government,76.11,High,South,25-99,22.0,0.09539428571428572,2,11583
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,595.0,For-Profit,46.64,Low,South,400-599,1515.0,0.03855510204081632,58,335905
010144,SPRINGHILL MEDICAL CENTER,AL,263.0,For-Profit,36.18,Low,South,200-399,1784.0,0.03215102040816326,57,330113
010148,EVERGREEN MEDICAL CENTER,AL,44.0,For-Profit,56.44,Medium,South,25-99,376.0,0.053799999999999994,20,115829
010149,BAPTIST MEDICAL CENTER EAST,AL,150.0,Government,54.1,Medium,South,100-199,1357.0,0.04878571428571429,66,382237
01014F,BIRMINGHAM VA MEDICAL CENTER,AL,479.0,Other,50.99,Medium,South,400-599,0.0,0.042121428571428574,0,0
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,AL,72.0,For-Profit,69.71,High,South,25-99,135.0,0.08076571428571427,11,63706
010157,NORTH ALABAMA SHOALS HOSPITAL,AL,198.0,For-Profit,76.58,High,South,100-199,160.0,0.09646857142857143,15,86872
010158,RUSSELLVILLE HOSPITAL,AL,100.0,For-Profit,75.01,High,South,100-199,352.0,0.09288000000000002,33,191118
010164,COOSA VALLEY MEDICAL CENTER,AL,168.0,Government,46.3,Low,South,100-199,454.0,0.0383469387755102,17,98455
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,70.0,Government,37.22,Low,South,25-99,454.0,0.032787755102040815,15,86872
010169,ATMORE COMMUNITY HOSPITAL,AL,49.0,Government,70.53,High,South,25-99,141.0,0.08264,12,69498
010173,ST VINCENT'S CHILTON,AL,30.0,Nonprofit,36.15,Low,South,25-99,125.0,0.03213265306122449,4,23166
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,AL,285.0,Other,52.24,Medium,South,200-399,0.0,0.044800000000000006,0,0
01021F,TUSCALOOSA VA MEDICAL CENTER,AL,928.0,Other,50.0,Low,South,600+,0.0,0.04,0,0
020001,PROVIDENCE ALASKA MEDICAL CENTER,AK,401.0,Nonprofit,42.95,Low,West,400-599,4761.0,0.03629591836734694,173,1001923
020006,MAT-SU REGIONAL MEDICAL CENTER,AK,74.0,Nonprofit,38.03,Low,West,25-99,2088.0,0.03328367346938775,69,399611
020008,BARTLETT REGIONAL HOSPITAL,AK,57.0,Government,24.66,Low,West,25-99,504.0,0.02509795918367347,13,75289
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,162.0,Nonprofit,49.82,Low,West,100-199,1324.0,0.04050204081632653,54,312739
020017,ALASKA REGIONAL HOSPITAL,AK,250.0,For-Profit,35.25,Low,West,200-399,2869.0,0.03158163265306122,91,527023
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,50.0,Government,35.25,Low,West,25-99,181.0,0.03158163265306122,6,34749
020024,CENTRAL PENINSULA GENERAL HOSPITAL,AK,49.0,Nonprofit,43.1,Low,West,25-99,1143.0,0.036387755102040814,42,243241
020026,ALASKA NATIVE MEDICAL CENTER,AK,167.0,Government,36.39,Low,West,100-199,1771.0,0.03227959183673469,57,330113
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),AK,,Other,50.0,Low,West,,0.0,0.04,0,0
02014F,Bassett ACH (FT Wainwright),AK,,Other,50.0,Low,West,,0.0,0.04,0,0
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,766.0,Nonprofit,37.09,Low,West,600+,3481.0,0.03270816326530612,114,660227
030006,TUCSON MEDICAL CENTER,AZ,596.0,Nonprofit,62.06,Medium,West,400-599,6260.0,0.06584285714285715,412,2386083
030007,VERDE VALLEY MEDICAL CENTER,AZ,98.0,Nonprofit,50.77,Medium,West,25-99,1450.0,0.041650000000000006,60,347488
030010,ST. MARY'S HOSPITAL,AZ,400.0,Nonprofit,37.44,Low,West,400-599,1520.0,0.03292244897959183,50,289573
030011,ST JOSEPH'S HOSPITAL,AZ,486.0,Nonprofit,44.8,Low,West,400-599,2030.0,0.03742857142857143,76,440151
030012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,218.0,Nonprofit,64.95,Medium,West,200-399,4212.0,0.07203571428571429,303,1754813
030013,YUMA REGIONAL MEDICAL CENTER,AZ,369.0,Nonprofit,52.27,Medium,West,200-399,3243.0,0.044864285714285725,145,839762
030014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,AZ,262.0,Nonprofit,56.01,Medium,West,200-399,2863.0,0.05287857142857143,151,874511
030016,BANNER CASA GRANDE MEDICAL CENTER,AZ,141.0,Nonprofit,38.21,Low,West,100-199,1123.0,0.033393877551020405,38,220076
030022,VALLEYWISE HEALTH MEDICAL CENTER,AZ,758.0,Government,29.67,Low,West,600+,622.0,0.028165306122448983,18,104246
030023,FLAGSTAFF MEDICAL CENTER,AZ,264.0,Nonprofit,41.92,Low,West,200-399,3217.0,0.03566530612244898,115,666018
030024,ST JOSEPHS HOSPITAL AND MEDICAL CENTER,AZ,586.0,Nonprofit,38.39,Low,West,400-599,4647.0,0.03350408163265306,156,903468
030030,ABRAZO CENTRAL CAMPUS,AZ,206.0,Other,28.39,Low,West,200-399,580.0,0.027381632653061226,16,92663
030036,CHANDLER REGIONAL MEDICAL CENTER,AZ,429.0,Nonprofit,55.17,Medium,West,400-599,6559.0,0.05107857142857143,335,1940140
030037,HONORHEALTH TEMPE MEDICAL CENTER,AZ,219.0,For-Profit,31.62,Low,West,200-399,204.0,0.02935918367346939,6,34749
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,AZ,341.0,For-Profit,65.12,High,West,200-399,4444.0,0.07027428571428573,312,1806937
030043,CANYON VISTA MEDICAL CENTER,AZ,100.0,Nonprofit,51.55,Medium,West,100-199,1360.0,0.043321428571428566,59,341696
030055,KINGMAN REGIONAL MEDICAL CENTER,AZ,235.0,Government,49.15,Low,West,200-399,1518.0,0.040091836734693874,61,353279
030061,BANNER BOSWELL MEDICAL CENTER,AZ,434.0,Nonprofit,58.63,Medium,West,400-599,4703.0,0.05849285714285715,275,1592652
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,101.0,Nonprofit,39.5,Low,West,100-199,1419.0,0.034183673469387756,49,283782
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,625.0,Nonprofit,40.0,Low,West,600+,3499.0,0.034489795918367344,121,700767
030065,BANNER DESERT MEDICAL CENTER,AZ,595.0,Nonprofit,48.9,Low,West,400-599,4412.0,0.03993877551020408,176,1019298
030069,HAVASU REGIONAL MEDICAL CENTER,AZ,152.0,For-Profit,36.73,Low,West,100-199,1613.0,0.03248775510204081,52,301156
030071,FORT DEFIANCE INDIAN HOSPITAL,AZ,70.0,Government,63.39,Medium,West,25-99,510.0,0.06869285714285714,35,202701
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,103.0,Nonprofit,35.24,Low,West,100-199,406.0,0.031575510204081635,13,75289
030074,SELLS HOSPITAL,AZ,32.0,Government,76.25,High,West,25-99,18.0,0.09571428571428572,2,11583
030078,PHOENIX INDIAN MEDICAL CENTER,AZ,179.0,Government,63.35,Medium,West,100-199,163.0,0.06860714285714287,11,63706
030083,ABRAZO SCOTTSDALE CAMPUS,AZ,136.0,For-Profit,49.63,Low,West,100-199,933.0,0.04038571428571429,38,220076
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,10.0,Government,26.18,Low,West,1-24,413.0,0.02602857142857143,11,63706
030085,NORTHWEST MEDICAL CENTER,AZ,300.0,For-Profit,57.34,Medium,West,200-399,3462.0,0.05572857142857143,193,1117752
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,AZ,425.0,For-Profit,62.06,Medium,West,400-599,6049.0,0.06584285714285715,398,2305002
030088,BANNER BAYWOOD MEDICAL CENTER,AZ,359.0,Nonprofit,54.93,Medium,West,200-399,3277.0,0.050564285714285714,166,961383
030089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,561.0,Government,40.89,Low,West,400-599,3457.0,0.03503469387755102,121,700767
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,204.0,Nonprofit,52.97,Medium,West,200-399,3142.0,0.04636428571428571,146,845554
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,394.0,Nonprofit,56.93,Medium,West,200-399,4876.0,0.054849999999999996,267,1546321
030094,ABRAZO ARROWHEAD HOSPITAL,AZ,217.0,For-Profit,33.87,Low,West,200-399,2978.0,0.030736734693877547,92,532815
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,139.0,For-Profit,48.52,Low,West,100-199,1249.0,0.03970612244897959,50,289573
030103,MAYO CLINIC HOSPITAL,AZ,280.0,Nonprofit,41.9,Low,West,200-399,9488.0,0.035653061224489795,338,1957515
030105,BANNER HEART HOSPITAL,AZ,111.0,Nonprofit,37.14,Low,West,100-199,1455.0,0.03273877551020408,48,277990
030107,ARIZONA SPINE AND JOINT HOSPITAL,AZ,23.0,Other,48.79,Low,West,1-24,431.0,0.03987142857142857,17,98455
030108,THE CORE INSTITUTE SPECIALTY HOSP,AZ,32.0,Other,46.22,Low,West,25-99,209.0,0.038297959183673465,8,46332
030110,ABRAZO WEST CAMPUS,AZ,200.0,For-Profit,51.65,Medium,West,200-399,2233.0,0.04353571428571428,97,561772
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,245.0,Nonprofit,40.58,Low,West,200-399,774.0,0.03484489795918367,27,156370
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,AZ,24.0,For-Profit,43.77,Low,West,1-24,143.0,0.03679795918367347,5,28957
030113,WHITERIVER PHS INDIAN HOSPITAL,AZ,40.0,Government,68.75,High,West,25-99,226.0,0.07857142857142858,18,104246
030114,ORO VALLEY HOSPITAL,AZ,146.0,For-Profit,51.71,Medium,West,100-199,1880.0,0.04366428571428572,82,474900
030115,BANNER ESTRELLA MEDICAL CENTER,AZ,317.0,Nonprofit,42.16,Low,West,200-399,1839.0,0.03581224489795918,66,382237
030117,VALLEY VIEW MEDICAL CENTER,AZ,84.0,For-Profit,68.11,High,West,25-99,246.0,0.07710857142857143,19,110038
030119,MERCY GILBERT MEDICAL CENTER,AZ,197.0,Nonprofit,55.97,Medium,West,100-199,3517.0,0.05279285714285714,186,1077212
030121,HONORHEALTH MOUNTAIN VISTA MEDICAL CENTER,AZ,178.0,For-Profit,51.18,Medium,West,100-199,1255.0,0.04252857142857143,53,306948
030122,BANNER GATEWAY MEDICAL CENTER,AZ,177.0,Nonprofit,32.32,Low,West,100-199,1744.0,0.02978775510204082,52,301156
030123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,AZ,120.0,Nonprofit,58.8,Medium,West,100-199,3185.0,0.05885714285714285,187,1083004
03012F,PHOENIX VA MEDICAL CENTER,AZ,295.0,Other,52.24,Medium,West,200-399,0.0,0.044800000000000006,0,0
030130,BANNER IRONWOOD MEDICAL CENTER,AZ,53.0,Nonprofit,36.68,Low,West,25-99,721.0,0.03245714285714286,23,133204
030134,BANNER GOLDFIELD MEDICAL CENTER,AZ,20.0,Nonprofit,35.03,Low,West,1-24,191.0,0.031446938775510205,6,34749
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,AZ,16.0,For-Profit,60.18,Medium,West,1-24,47.0,0.06181428571428571,3,17374
030138,CITY OF HOPE CANCER CENTER PHOENIX,AZ,38.0,For-Profit,61.62,Medium,West,25-99,160.0,0.0649,10,57915
030139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,AZ,50.0,Nonprofit,57.97,Medium,West,25-99,553.0,0.05707857142857142,32,185327
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,AZ,381.0,Other,52.24,Medium,West,200-399,0.0,0.044800000000000006,0,0
030146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,AZ,70.0,Nonprofit,41.58,Low,West,25-99,836.0,0.035457142857142854,30,173744
030147,BANNER OCOTILLO MEDICAL CENTER,AZ,94.0,Nonprofit,38.76,Low,West,25-99,695.0,0.033730612244897956,23,133204
030148,NORTHWEST MEDICAL CENTER SAHUARITA,AZ,18.0,Nonprofit,35.07,Low,West,1-24,1095.0,0.031471428571428574,34,196910
030152,EXCEPTIONAL COMMUNITY HOSPITAL - MARICOPA,AZ,9.0,For-Profit,61.31,Medium,West,1-24,14.0,0.06423571428571428,1,5791
030153,EAST VALLEY ER & HOSPITAL,AZ,14.0,For-Profit,60.62,Medium,West,1-24,23.0,0.06275714285714284,1,5791
030154,EXCEPTIONAL COMMUNITY HOSPITAL YUMA,AZ,9.0,For-Profit,61.35,Medium,West,1-24,13.0,0.06432142857142857,1,5791
030155,EXCEPTIONAL COMMUNITY HOSPITAL BULLHEAD CITY,AZ,8.0,For-Profit,52.14,Medium,West,1-24,0.0,0.044585714285714284,0,0
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,AZ,225.0,Other,52.24,Medium,West,200-399,0.0,0.044800000000000006,0,0
040001,SILOAM SPRINGS REGIONAL HOSPITAL,AR,73.0,For-Profit,37.43,Low,South,25-99,339.0,0.032916326530612244,11,63706
040002,JOHNSON REGIONAL MEDICAL CENTER,AR,90.0,Nonprofit,47.22,Low,South,25-99,296.0,0.038910204081632656,12,69498
040004,WASHINGTON REGIONAL MEDICAL CENTER,AR,425.0,Nonprofit,54.87,Medium,South,400-599,4036.0,0.05043571428571428,204,1181459
040007,CHI-ST VINCENT INFIRMARY,AR,615.0,Nonprofit,35.97,Low,South,600+,4179.0,0.03202244897959184,134,776056
040010,MERCY HOSPITAL NORTHWEST ARKANSAS,AR,275.0,Nonprofit,57.04,Medium,South,200-399,3428.0,0.05508571428571428,189,1094587
040011,CHAMBERS MEMORIAL HOSPITAL,AR,42.0,Nonprofit,57.68,Medium,South,25-99,496.0,0.05645714285714286,28,162161
040014,WHITE COUNTY MEDICAL CENTER,AR,571.0,Nonprofit,70.51,High,South,400-599,3035.0,0.08259428571428573,251,1453657
040016,University of Arkansas Medical Sciences,AR,450.0,Government,46.66,Low,South,400-599,4184.0,0.03856734693877551,161,932426
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,174.0,Nonprofit,54.53,Medium,South,100-199,666.0,0.04970714285714286,33,191118
040018,BAPTIST HEALTH - VAN BUREN,AR,103.0,Nonprofit,85.0,High,South,100-199,7.0,0.11571428571428571,1,5791
040019,FORREST CITY MEDICAL CENTER,AR,118.0,For-Profit,38.29,Low,South,100-199,159.0,0.03344285714285714,5,28957
040020,ST BERNARDS MEDICAL CENTER,AR,440.0,Nonprofit,59.58,Medium,South,400-599,4749.0,0.060528571428571425,287,1662150
040022,NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,414.0,For-Profit,58.72,Medium,South,400-599,1945.0,0.058685714285714285,114,660227
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,AR,282.0,Nonprofit,51.51,Medium,South,200-399,4086.0,0.04323571428571428,177,1025089
040027,BAXTER HEALTH,AR,268.0,Nonprofit,63.85,Medium,South,200-399,3034.0,0.06967857142857144,211,1221999
040029,"CONWAY REGIONAL MEDICAL CENTER, INC",AR,150.0,Nonprofit,55.61,Medium,South,100-199,2463.0,0.05202142857142857,128,741307
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,225.0,Nonprofit,53.17,Medium,South,200-399,4022.0,0.04679285714285715,188,1088795
040039,ARKANSAS METHODIST MEDICAL CENTER,AR,129.0,Nonprofit,44.17,Low,South,100-199,774.0,0.03704285714285714,29,167952
040041,ST MARYS REGIONAL MEDICAL CENTER,AR,170.0,For-Profit,44.26,Low,South,100-199,1039.0,0.037097959183673465,39,225867
040050,OUACHITA COUNTY MEDICAL CENTER,AR,49.0,Nonprofit,44.41,Low,South,25-99,305.0,0.037189795918367345,11,63706
040051,BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,AR,60.0,Nonprofit,52.43,Medium,South,25-99,640.0,0.045207142857142855,29,167952
040055,BAPTIST HEALTH - FORT SMITH,AR,492.0,Nonprofit,58.17,Medium,South,400-599,3415.0,0.05750714285714286,196,1135127
040062,MERCY HOSPITAL FORT SMITH,AR,360.0,Nonprofit,57.62,Medium,South,200-399,4216.0,0.05632857142857142,237,1372577
040067,MAGNOLIA REGIONAL MEDICAL HOSPITAL,AR,70.0,Government,59.22,Medium,South,25-99,345.0,0.059757142857142856,21,121621
040069,GREAT RIVER MEDICAL CENTER,AR,168.0,Government,58.64,Medium,South,100-199,253.0,0.05851428571428571,15,86872
040071,JEFFERSON REGIONAL MEDICAL CENTER,AR,300.0,Nonprofit,54.47,Medium,South,200-399,1693.0,0.04957857142857143,84,486483
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,49.0,Nonprofit,39.16,Low,South,25-99,172.0,0.03397551020408163,6,34749
040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,AR,72.0,Nonprofit,67.6,High,South,25-99,191.0,0.07594285714285713,15,86872
040078,NATIONAL PARK MEDICAL CENTER,AR,163.0,For-Profit,35.94,Low,South,100-199,1370.0,0.03200408163265306,44,254824
040084,SALINE MEMORIAL HOSPITAL,AR,177.0,For-Profit,50.44,Medium,South,100-199,1059.0,0.04094285714285714,43,249033
040088,SOUTH ARKANSAS REGIONAL HOSPITAL LLC,AR,149.0,For-Profit,57.93,Medium,South,100-199,839.0,0.05699285714285714,48,277990
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,AR,254.0,Other,52.24,Medium,South,200-399,0.0,0.044800000000000006,0,0
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,AR,471.0,Other,50.99,Medium,South,400-599,0.0,0.042121428571428574,0,0
040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,807.0,Nonprofit,56.35,Medium,South,600+,6863.0,0.05360714285714286,368,2131259
040118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",AR,228.0,Nonprofit,58.97,Medium,South,200-399,3742.0,0.05922142857142857,222,1285705
040119,WHITE RIVER MEDICAL CENTER,AR,224.0,Nonprofit,60.55,Medium,South,200-399,2570.0,0.06260714285714285,161,932426
040132,LEVI HOSPITAL,AR,50.0,Nonprofit,65.0,Medium,South,25-99,0.0,0.07,0,0
040134,"ARKANSAS HEART HOSPITAL, LLC",AR,110.0,For-Profit,38.64,Low,South,100-199,2304.0,0.03365714285714286,78,451734
040137,ST VINCENT MEDICAL CENTER/NORTH,AR,69.0,Nonprofit,35.43,Low,South,25-99,1014.0,0.031691836734693876,32,185327
